PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
C	Davami, E; Sukthankar, G			Assoc Comp Machinery	Davami, Erfan; Sukthankar, Gita			Evaluating Trust-Based Fusion Models for Participatory Sensing Applications	AAMAS'14: PROCEEDINGS OF THE 2014 INTERNATIONAL CONFERENCE ON AUTONOMOUS AGENTS & MULTIAGENT SYSTEMS			English	Proceedings Paper	International Conference on Autonomous Agents and Multiagent Systems (AAMAS)	MAY 05-09, 2014	Paris, FRANCE	Assoc Comp Machinery, Int Fdn Autonomous Agents & Multi Agent Syst, Assoc Comp Machinery Special Interest Grp Artificial Intelligence, Air Force Res Lab, Microsoft Res, THALES, CEA Tech, Lab Informatique Paris 6, Univ S Carolina, Univ Fed Rio Grande Sul, SiKS, IBM		participatory sensing; crowdsourcing; trust-based fusion		Participatory sensing is a specialized form of crowdsourcing for mobile devices in which the users act as sensors to report on local environmental conditions, such as traffic, pollution, and wireless signal strength. This computing framework has great promise as a tool for urban planners, but deploying new applications is a challenge since the overall performance can be sensitive to the specific user population. This paper describes the process of prototyping a mobile phone crowdsourcing app for monitoring parking availability on a large university campus.	[Davami, Erfan; Sukthankar, Gita] Univ Cent Florida, Dept EECS, Orlando, FL 32816 USA	State University System of Florida; University of Central Florida	Davami, E (corresponding author), Univ Cent Florida, Dept EECS, Orlando, FL 32816 USA.	erfand@knights.ucf.edu; gitars@eecs.ucf.edu			NSF [IIS-08451]; DARPA [D13AP00002]	NSF(National Science Foundation (NSF)); DARPA(United States Department of DefenseDefense Advanced Research Projects Agency (DARPA))	This research was supported by NSF IIS-08451 and DARPA D13AP00002 awards.		2	0	0	0	0	ASSOC COMPUTING MACHINERY	NEW YORK	1515 BROADWAY, NEW YORK, NY 10036-9998 USA			978-1-4503-2738-1				2014							1377	1378						2	Automation & Control Systems; Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Robotics	Conference Proceedings Citation Index - Science (CPCI-S)	Automation & Control Systems; Computer Science; Engineering; Robotics	BM5LR					2025-01-27	WOS:000465207100191
J	Shaw, BJ; Draux, H; Martín, MG; Martin, J; Bieling, C				Shaw, Brian J.; Draux, Helene; Martin, Maria Garcia; Martin, John; Bieling, Claudia			Contributions of citizen science to landscape democracy: potentials and challenges of current approaches	LANDSCAPE RESEARCH			English	Article						Citizen science; landscape democracy; social-ecological systems; landscape; landscape governance	ECOLOGICAL RESEARCH; TOOL; MANAGEMENT; KNOWLEDGE	For landscape research to function in a democratic landscape governance, it must achieve two things. One, it must integrate stakeholder perspectives at multiple steps of the research process, and two, it must effectively communicate its knowledge and insights. Citizen science can be described as the involvement of the public in the scientific process, through a range of different approaches. We ask what such approaches can bring the landscape research and its stakeholders closer together. We survey the field of citizen science and present a number of typologies of approaches. Next, we introduce three applications of citizen science in the landscape context and examine them under the lens of the typologies. We find that each case employs citizen science to include stakeholders in different ways, but each of them limited to just one stage of the research process. Finally, we suggest ways forward for landscape research to achieve an integrative relationship between researchers and stakeholders.	[Shaw, Brian J.; Bieling, Claudia] Univ Hohenheim, Inst Social Sci Agr Societal Transit & Agr 430B, Stuttgart, Germany; [Draux, Helene] Univ Copenhagen, Dept Geosci & Nat Resource Management, Copenhagen, Denmark; [Shaw, Brian J.; Martin, Maria Garcia] Albert Ludwig Univ Freiburg, Chair Nat Conservat & Landscape Ecol, Freiburg, Germany; [Martin, John] Plymouth Univ, Sch Geog Earth & Environm Sci, Plymouth, Devon, England	University Hohenheim; University of Copenhagen; University of Freiburg; University of Plymouth	Shaw, BJ (corresponding author), Univ Hohenheim, Inst Social Sci Agr Societal Transit & Agr 430B, Stuttgart, Germany.; Shaw, BJ (corresponding author), Albert Ludwig Univ Freiburg, Chair Nat Conservat & Landscape Ecol, Freiburg, Germany.	Brian.Shaw@uni-hohenheim.de	Garcia-Martin, Maria/AAG-2801-2019	Bieling, Claudia/0000-0001-5001-4150; Garcia Martin, Maria/0000-0003-4616-3844; Shaw, Brian/0000-0003-0879-8777; Draux, Helene/0000-0001-8837-168X; Martin, John/0000-0003-3363-8855	European Commission [603447]	European Commission(European Union (EU)European Commission Joint Research Centre)	This work was supported by the European Commission (7th Framework Program) [grant number 603447 (Project HERCULES)].		51	10	10	1	17	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0142-6397	1469-9710		LANDSCAPE RES	Landsc. Res.		2017	42	8			SI		831	844		10.1080/01426397.2017.1385750	http://dx.doi.org/10.1080/01426397.2017.1385750			14	Environmental Studies; Geography	Social Science Citation Index (SSCI)	Environmental Sciences & Ecology; Geography	FP5AM					2025-01-27	WOS:000417629000003
J	Aivelo, T; Huovelin, S				Aivelo, Tuomas; Huovelin, Suvi			Combining formal education and citizen science: a case study on students' perceptions of learning and interest in an urban rat project	ENVIRONMENTAL EDUCATION RESEARCH			English	Article						Citizen science; near environment; urban ecology; animal studies; animal attitudes	SITUATIONAL INTEREST; ATTITUDES; KNOWLEDGE; PARTICIPATION; RACCOONS; ANIMALS; DISGUST; TOOL	Citizen science is a valuable tool in environmental and formal education in creating scientific knowledge for the researchers and facilitating learning and fostering a positive relationship toward the environment and study species. We present a case study on the Helsinki Urban Rat Project in which students surveyed rat occurrence in their own near environments. According to our results, experientiality, involvement, meaningfulness, freedom to choose, ease of participation, and the rats themselves contributed to students' increased interest in participation. Furthermore, students described diverse factual, conceptual, procedural, and metacognitive knowledge that they acquired during their participation. In general, students described negative attitudes toward rats, but they less negative views on rats after participation. We reflect on the success of the citizen science project and implications of planning a future citizen science project and incorporating citizen science in formal education.	[Aivelo, Tuomas; Huovelin, Suvi] Univ Helsinki, Organismal & Evolutionary Biol Res Program, Viikinkaari 1 PL 56, FIN-00014 Helsinki, Finland	University of Helsinki	Aivelo, T (corresponding author), Univ Helsinki, Organismal & Evolutionary Biol Res Program, Viikinkaari 1 PL 56, FIN-00014 Helsinki, Finland.	tuomas.aivelo@helsinki.fi	Aivelo, Tuomas/ABA-2306-2021	Aivelo, Tuomas/0000-0003-4285-7179	Maj and Tor Nessling Foundation; City of Helsinki	Maj and Tor Nessling Foundation; City of Helsinki	The authors wish to thank participating schools, teachers and students and Nina V. Nygren and Pauliina Rautio for discussions on human-animal relations and Mary Lukkonen and Marlene Boemer on proof-reading the manuscript. T.A. has been funded by the Maj and Tor Nessling Foundation and the City of Helsinki research grants. The authors report no potential conflict of interests.		70	21	26	3	34	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1350-4622	1469-5871		ENVIRON EDUC RES	Environ. Educ. Res.	MAR 3	2020	26	3					324	340		10.1080/13504622.2020.1727860	http://dx.doi.org/10.1080/13504622.2020.1727860		FEB 2020	17	Education & Educational Research; Environmental Studies	Social Science Citation Index (SSCI)	Education & Educational Research; Environmental Sciences & Ecology	KX9GF		Green Submitted			2025-01-27	WOS:000514498400001
J	Church, SP; Payne, LB; Peel, S; Prokopy, LS				Church, Sarah P.; Payne, Lindsey B.; Peel, Sara; Prokopy, Linda S.			Beyond water data: benefits to volunteers and to local water from a citizen science program	JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT			English	Article						behavior change; citizen science; social networks; volunteer motivation; watershed planning	ECOLOGICAL RESEARCH; TOOL; PARTICIPATION; MOTIVATIONS; MANAGEMENT; KNOWLEDGE; QUALITY; BIODIVERSITY; SCIENTISTS; ATTITUDES	Survey results of citizen science water data collection volunteers are presented, indicating personal benefits (e.g., being in nature, helping local water quality), and suggesting potential long-term benefits of improved watershed health (e.g., behavior change). These results can inform citizen science program development and contribute to watershed planners' understanding of the broad benefits of such programs. We suggest that respondents' positive feelings toward the watershed's major river and desire to learn about science and nature are place-specific elements that watershed and citizen science program managers could utilize in program development. Moreover, we explore the potential of social diffusion and behavior change and suggest the need for further research in these areas. We conclude that citizen science has potential not just as a means to collect large amounts of data (cheaply), but as a means to engage citizens to make environmentally friendly decisions.	[Church, Sarah P.; Prokopy, Linda S.] Purdue Univ, Dept Forestry & Nat Resources, W Lafayette, IN 47907 USA; [Payne, Lindsey B.] Purdue Univ, Ctr Instruct Excellence, W Lafayette, IN 47907 USA; [Peel, Sara] Wabash River Enhancement Corp, Lafayette, IN USA; [Peel, Sara] Arion Consultants Inc, Indianapolis, IN USA	Purdue University System; Purdue University; Purdue University System; Purdue University	Church, SP (corresponding author), Purdue Univ, Dept Forestry & Nat Resources, W Lafayette, IN 47907 USA.	church9@purdue.edu	Church, Sarah/AAQ-1104-2020	Church, Sarah/0000-0003-0739-1967	National Institute of Food and Agriculture [NC 1190]	National Institute of Food and Agriculture(United States Department of Agriculture (USDA)National Institute of Food & Agriculture)	This work was supported by National Institute of Food and Agriculture [multistate Hatch project NC 1190].		67	22	28	5	39	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0964-0568	1360-0559		J ENVIRON PLANN MAN	J. Environ. Plan. Manag.	JAN 28	2019	62	2					306	326		10.1080/09640568.2017.1415869	http://dx.doi.org/10.1080/09640568.2017.1415869			21	Development Studies; Regional & Urban Planning	Social Science Citation Index (SSCI)	Development Studies; Public Administration	HV7NF					2025-01-27	WOS:000466167000007
J	Sánchez, F; Casani, F; Olmos, R				Sanchez, Flor; Casani, Fernando; Olmos, Ricardo			Public Perception of Citizen Science in Spain: Sociodemographic Analysis	REVISTA ESPANOLA DE DOCUMENTACION CIENTIFICA			English	Article						citizen science; open science; public participation; knowledge; attitudes; motivation		This study analyzes the public's view of citizen science based on survey respondents' expressed knowledge, attitudes, and motivations. The questionnaire was answered by 1,002 residents of 48 Spanish cities. The study population was 50% female and spanned various age groups, occupations, and levels of education. The results indicate that although the population has a quite favorable opinion of citizen science, people feel underinformed about it. Very few respondents consider it to be negative and many expect it to have a positive impact over the coming decade. While both men and women exhibit intrinsic motivations to participate in citizen science, women specifically exhibit social motives for contributing. The data reveal differences in respondents' attitude to citizen science depending on gender, age, level of education, and occupation. The data suggest that incorporating a balanced and representative sample of the public into scientific endeavor will require greater institutional intervention in coming years.	[Sanchez, Flor] Univ Autonoma Madrid, Dept Psicol Social & Metodol, Inst Inaecu UAM UC3M, Madrid, Spain; [Casani, Fernando] Univ Autonoma Madrid, Dept Org Empresas, Inst Inaecu UAM UC3M, Madrid, Spain; [Olmos, Ricardo] Univ Autonoma Madrid, Dept Psicol Social & Metodol, Madrid, Spain	Autonomous University of Madrid; Autonomous University of Madrid; Autonomous University of Madrid	Sánchez, F (corresponding author), Univ Autonoma Madrid, Dept Psicol Social & Metodol, Inst Inaecu UAM UC3M, Madrid, Spain.	flor.sanchez@uam.es; fernando.casani@uam.es; ricardo.olmos@uam.es	Sanchez, Flor/E-8343-2012; CASANI FERNANDEZ NAVARRETE, FERNANDO/K-5706-2014	CASANI FERNANDEZ NAVARRETE, FERNANDO/0000-0001-5045-5677	Spanish Ministry of Science and Innovation entitled " Diagnostico de la ciencia abierta en el sistema universitario espanol y mecanismos para su transformacion y mejora " Dossuet [PID2019-104052RB-C21]	Spanish Ministry of Science and Innovation entitled " Diagnostico de la ciencia abierta en el sistema universitario espanol y mecanismos para su transformacion y mejora " Dossuet(Ministry of Science and Innovation, Spain (MICINN))	This study was funded by a project under the National Plan implemented by the Spanish Ministry of Science and Innovation entitled " Diagnostico de la ciencia abierta en el sistema universitario espanol y mecanismos para su transformacion y mejora " Dossuet (grant number PID2019-104052RB-C21) . We also thank Mr. Jordi Sastre (Netquest project manager) for his support in data collection and Ms. Victoria Kennedy (VKennedy Translations) in the translation of this paper.		28	0	0	3	3	CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS-CSIC	MADRID	Editorial CSIC, C/VITRUVIO 8, 28006 MADRID, SPAIN	0210-0614	1988-4621		REV ESP DOC CIENT	Rev. Esp. Doc. Cient.	JUL-SEP	2024	47	3							e392	10.3989/redc.2024.3.1551	http://dx.doi.org/10.3989/redc.2024.3.1551			14	Information Science & Library Science	Social Science Citation Index (SSCI)	Information Science & Library Science	K1A9J		gold			2025-01-27	WOS:001341291500005
J	Pocock, MJO; Adriaens, T; Bertolino, S; Eschen, R; Essl, F; Hulme, PE; Jeschke, JM; Roy, HE; Teixeira, H; de Groot, M				Pocock, Michael J. O.; Adriaens, Tim; Bertolino, Sandro; Eschen, Rene; Essl, Franz; Hulme, Philip E.; Jeschke, Jonathan M.; Roy, Helen E.; Teixeira, Heliana; de Groot, Maarten			Citizen science is a vital partnership for invasive alien species management and research	ISCIENCE			English	Review							TREE PESTS; BIODIVERSITY; SPREAD; OPPORTUNITIES; PREFERENCES; FRAMEWORK; ATTITUDES; IMPACT; LAKES	Invasive alien species (IAS) adversely impact biodiversity, ecosystem functions, and socio-economics. Citizen science can be an effective tool for IAS surveillance, management, and research, providing large datasets over wide spatial extents and long time periods, with public participants generating knowledge that supports action. We demonstrate how citizen science has contributed knowledge across the biological invasion process, especially for early detection and distribution mapping. However, we recommend that citizen science could be used more for assessing impacts and evaluating the success of IAS management. Citizen science does have limitations, and we explore solutions to two key challenges: ensuring data accuracy and dealing with uneven spatial coverage of potential recorders (which limits the dataset's "fit for purpose"). Greater co-development of citizen science with public stakeholders will help us better realize its potential across the biological invasion process and across ecosystems globally while meeting the needs of participants, local communities, scientists, and decision-makers.	[Pocock, Michael J. O.; Roy, Helen E.] UK Ctr Ecol & Hydrol, Wallingford, Oxfords, England; [Adriaens, Tim] Res Inst Nat & Forest INBO, Brussels, Belgium; [Bertolino, Sandro] Univ Turin, Dept Life Sci & Syst Biol, Turin, Italy; [Eschen, Rene] CABI, Delemont, Switzerland; [Essl, Franz] Univ Vienna, Dept Bot & Biodivers Res, Div BioInvas Global Change & Macroecol, Vienna, Austria; [Hulme, Philip E.] Lincoln Univ, Dept Pest Management & Conservat, Bioprotect Aotearoa, PO Box 84850, Lincoln 7648, New Zealand; [Jeschke, Jonathan M.] Leibniz Inst Freshwater Ecol & Inland Fisheries IG, Berlin, Germany; [Jeschke, Jonathan M.] Univ Berlin, Inst Biol, Berlin, Germany; [Teixeira, Heliana] Univ Aveiro, Ctr Environm & Marine Studies, Dept Biol, Aveiro, Portugal; [de Groot, Maarten] Slovenian Forestry Inst, Vecna Pot 2, Ljubljana 1000, Slovenia; [Roy, Helen E.] Univ Exeter, Fac Environm Sci & Econ, Ctr Ecol & Conservat, Penryn, TR10 9FE, England	UK Centre for Ecology & Hydrology (UKCEH); Research Institute for Nature & Forest; University of Turin; University of Vienna; Lincoln University - New Zealand; Leibniz Association; Leibniz Institut fur Gewasserokologie und Binnenfischerei (IGB); Universidade de Aveiro; Slovenian Forestry Institute; University of Exeter	Pocock, MJO (corresponding author), UK Ctr Ecol & Hydrol, Wallingford, Oxfords, England.	michael.pocock@ceh.ac.uk	Teixeira, Heliana/JCE-1437-2023; Jeschke, Jonathan/A-2707-2008; Essl, Franz/ABE-7064-2020; Hulme, Philip/F-7454-2011; de Groot, Maarten/AER-0020-2022; Bertolino, Sandro/V-5508-2019; Pocock, Michael/A-5632-2012; Adriaens, Tim/F-6936-2010	Pocock, Michael/0000-0003-4375-0445; Roy, Helen Elizabeth/0000-0001-6050-679X; Essl, Franz/0000-0001-8253-2112; Teixeira, Heliana/0000-0001-8525-9967; Adriaens, Tim/0000-0001-7268-4200; Bertolino, Sandro/0000-0002-1063-8281; Jeschke, Jonathan/0000-0003-3328-4217; de Groot, Maarten/0000-0002-5721-6676; Eschen, Rene/0000-0002-0464-6680	COST (European Cooperation in Science and Technology) [CA17122]; Natural Environment Research Council [NE/R016429/1]; Slovenian Research Agency [P4-0107]; Administration for Food Safety, Veterinary Sector and Plant Protection at the Ministry of Agriculture, Forestry and Food of the Republic of Slovenia [P4-0107]; CABI; FCT/MCTES [CEECIND/08095/2022]; CESAM [UIDP/50017/2020+UIDB/50017/2020+LA/P/0094/2020]; NERC [NE/R016429/1] Funding Source: UKRI	COST (European Cooperation in Science and Technology)(European Cooperation in Science and Technology (COST)); Natural Environment Research Council(UK Research & Innovation (UKRI)Natural Environment Research Council (NERC)); Slovenian Research Agency(Slovenian Research Agency - Slovenia); Administration for Food Safety, Veterinary Sector and Plant Protection at the Ministry of Agriculture, Forestry and Food of the Republic of Slovenia; CABI; FCT/MCTES(Fundacao para a Ciencia e a Tecnologia (FCT)); CESAM; NERC(UK Research & Innovation (UKRI)Natural Environment Research Council (NERC))	This publication is based upon work from COST Action Increasing understanding of alien species through citizen science (''Alien CSI'': CA17122) supported by COST (European Cooperation in Science and Technology). We thank other members of the COST Action for discussions and inspiration during meetings. M.J.O.P. and H.E.R. were supported by the Natural Environment Research Council award number NE/ R016429/1 as part of the UK-SCAPE programme Delivering National Capability. M.d.G. was supported by the core research group Forest biology, ecology and technology (P4-0107) of the Slovenian Research Agency and the Administration for Food Safety, Veterinary Sector and Plant Protection at the Ministry of Agriculture, Forestry and Food of the Republic of Slovenia. R.E. was supported by CABI with core financial support from its member countries (see https://www.cabi.org/about-cabi/who-we-work-with/key-donors/ for full details). H.T. was supported by funds from FCT/MCTES under the project CEECIND/08095/2022 and to CESAM (UIDP/50017/2020+UIDB/50017/2020+LA/P/ 0094/2020).		162	9	12	9	19	CELL PRESS	CAMBRIDGE	50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA		2589-0042		ISCIENCE	iScience	JAN 19	2024	27	1							108623	10.1016/j.isci.2023.108623	http://dx.doi.org/10.1016/j.isci.2023.108623		DEC 2023	16	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	FZ7G2	38205243	Green Published, gold, Green Accepted			2025-01-27	WOS:001149735900001
S	Gharesifard, M; Wehn, U	Ceccaroni, L; Piera, J			Gharesifard, Mohammad; Wehn, Uta	Ceccaroni, L; Piera, J		What Drives Citizens to Engage in ICT-Enabled Citizen Science? Case Study of Online Amateur Weather Networks	ANALYZING THE ROLE OF CITIZEN SCIENCE IN MODERN RESEARCH	Advances in Knowledge Acquisition Transfer and Management (AKATM) Book Series		English	Article; Book Chapter							PERCEIVED BEHAVIORAL-CONTROL; SELF-EFFICACY; VIRTUAL COMMUNITIES; TRUST; DETERMINANTS; INTENTIONS; MANAGEMENT	In order for citizen science initiatives to pan out well, various actors need to be willing to engage in citizen science activities. The particular interest in this chapter lies with the citizens and their motivations to participate in ICT-enabled citizen science since, arguably, without citizen participation, there is no citizen science activity. The authors examine in detail what determines citizens' interest to share their weather-related data collected with Personal Weather Stations via online amateur networks and how these citizen activities could be up-scaled to address prevalent hydro-meteorological data gaps. A decision making theory is used to guide empirical research in three European countries. The results indicate no regional differences between the main drivers and incentives and raise the question whether weather observation is still a male-dominated activity in the digital age which would have implications for upscaling this citizen science initiative.	[Gharesifard, Mohammad] UNESCO IHE, Inst Water Educ, Delft, Netherlands; [Wehn, Uta] UNESCO IHE, Water Innovat Studies, Integrated Water Syst & Governance Dept, Delft, Netherlands	IHE Delft Institute for Water Education; IHE Delft Institute for Water Education	Gharesifard, M (corresponding author), UNESCO IHE, Inst Water Educ, Delft, Netherlands.		Montalvo, Uta/M-4976-2013; Gharesifard, Mohammad/AAH-9090-2021	Gharesifard, Mohammad/0000-0002-9553-0340					47	2	6	2	4	IGI GLOBAL	HERSEY	701 E CHOCOLATE AVE, STE 200, HERSEY, PA 17033-1240 USA	2326-7607	2326-7615	978-1-5225-0963-9; 978-1-5225-0962-2	ADV KNOWL ACQUISITIO			2017							62	88		10.4018/978-1-5225-0962-2.ch004	http://dx.doi.org/10.4018/978-1-5225-0962-2.ch004	10.4018/978-1-5225-0962-2		27	Sociology	Book Citation Index – Social Sciences & Humanities (BKCI-SSH)	Sociology	BH9KS					2025-01-27	WOS:000404135700006
J	Moore, AC; Anderson, AA; Long, M; McKernan, LT; Volckens, J				Moore, Ashley C.; Anderson, Ashley A.; Long, Marilee; McKernan, Lauralynn T.; Volckens, John			The power of the crowd: Prospects and pitfalls for citizen science in occupational health	JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE			English	Editorial Material						Citizen science; crowdsourcing; exposure assessment; health communication; industrial hygiene	ECOLOGICAL RESEARCH; ERGONOMICS; TOOL		[Moore, Ashley C.; Anderson, Ashley A.; Long, Marilee] Colorado State Univ, Dept Journalism & Media Commun, Ft Collins, CO 80523 USA; [McKernan, Lauralynn T.] NIOSH, Div Surveillance Hazard Evaluat & Field Studies, Cincinnati, OH 45226 USA; [Volckens, John] Colorado State Univ, Dept Mech Engn, Ft Collins, CO 80523 USA	Colorado State University; Centers for Disease Control & Prevention - USA; National Institute for Occupational Safety & Health (NIOSH); Colorado State University	Volckens, J (corresponding author), Colorado State Univ, Dept Mech Engn, Ft Collins, CO 80523 USA.	john.volckens@colostate.edu		Anderson, Ashley/0000-0001-8386-5576					34	3	3	1	8	TAYLOR & FRANCIS INC	PHILADELPHIA	530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA	1545-9624	1545-9632		J OCCUP ENVIRON HYG	J. Occup. Environ. Hyg.	MAR 4	2019	16	3					191	198		10.1080/15459624.2019.1566733	http://dx.doi.org/10.1080/15459624.2019.1566733			8	Environmental Sciences; Public, Environmental & Occupational Health	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Environmental Sciences & Ecology; Public, Environmental & Occupational Health	HS4KA	30620244				2025-01-27	WOS:000463829900001
J	Schmandt, J				Schmandt, J			Civic science	SCIENCE COMMUNICATION			English	Article								Civic science is built an the premise that many development issues are so complex that they require careful interdisciplinary assessment of current conditions, future trends, and possible solutions, and that stakeholders an well placed to advise on actions which incorporate community preferences and goals. The author outlines how civic science principles work in three contexts: Project ARIDAS (a plan for sustainable development in the semiarid regions of Brazil), water and development planning in the Rio Grande/Rio Brave Basin in Texas and Mexico, and environmental risk assessment for the Houston (Texas) area.	Houston Adv Res Ctr, Ctr Global Studies, The Woodlands, TX 77381 USA; Univ Texas, Austin, TX USA	University of Texas System; University of Texas Austin	Houston Adv Res Ctr, Ctr Global Studies, 4800 Res Forest Dr, The Woodlands, TX 77381 USA.	jas@harc.edu							12	13	16	1	5	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	1075-5470	1552-8545		SCI COMMUN	Sci. Commun.	SEP	1998	20	1					62	69		10.1177/1075547098020001008	http://dx.doi.org/10.1177/1075547098020001008			8	Communication	Social Science Citation Index (SSCI)	Communication	116JC					2025-01-27	WOS:000075720300008
J	Wolff, E; Muñoz, F				Wolff, Erich; Munoz, Felipe			The Techno-politics of Crowdsourced Disaster Data in the Smart City	FRONTIERS IN SUSTAINABLE CITIES			English	Editorial Material						citizen science; disaster and risk management; smart city; techno-politics; floods; crowdsource data; disasters	CITIZEN SCIENCE		[Wolff, Erich] Monash Univ, MADA, Melbourne, Vic, Australia; [Munoz, Felipe] Temple Univ, Geog & Urban Studies, Philadelphia, PA 19122 USA	Monash University; Pennsylvania Commonwealth System of Higher Education (PCSHE); Temple University	Wolff, E (corresponding author), Monash Univ, MADA, Melbourne, Vic, Australia.	wolff.erich@gmail.com	Wolff, Erich/GOE-4190-2022; Muñoz, Felipe/HTP-0736-2023	Wolff, Erich/0000-0001-7420-3546	Monash Graduate Research Scholarship - Monash University; MicroGrant from the Co-risk lab	Monash Graduate Research Scholarship - Monash University(Monash University); MicroGrant from the Co-risk lab	EW received a Monash Graduate Research Scholarship, funded by Monash University and a MicroGrant from the Co-risk lab.		41	4	4	0	6	FRONTIERS MEDIA SA	LAUSANNE	AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND		2624-9634		FRONT SUSTAIN CITIES	Front. Sustain. Cities		2021	3								695329	10.3389/frsc.2021.695329	http://dx.doi.org/10.3389/frsc.2021.695329			5	Green & Sustainable Science & Technology; Environmental Sciences; Environmental Studies; Urban Studies	Emerging Sources Citation Index (ESCI)	Science & Technology - Other Topics; Environmental Sciences & Ecology; Urban Studies	YU2JA		gold, Green Submitted			2025-01-27	WOS:000751872400088
J	Farokhi, F; Shames, I; Cantoni, M				Farokhi, Farhad; Shames, Iman; Cantoni, Michael			Promoting Truthful Behavior in Participatory-Sensing Mechanisms	IEEE SIGNAL PROCESSING LETTERS			English	Article						Equilibrium; game theory; participatory-sensing; truth-telling behavior		In this letter, the interplay between a class of nonlinear estimators and strategic sensors is studied in several participatory-sensing scenarios. It is shown that for the class of estimators, if the strategic sensors have access to noiseless measurements of the to-be-estimated-variable, truth-telling is an equilibrium of the game that models the interplay between the sensors and the estimator. Furthermore, performance of the proposed estimators is examined in the case that the strategic sensors form coalitions and in the presence of noise.	[Farokhi, Farhad; Shames, Iman; Cantoni, Michael] Univ Melbourne, Dept Elect & Elect Engn, Parkville, Vic 3010, Australia	University of Melbourne	Farokhi, F (corresponding author), Univ Melbourne, Dept Elect & Elect Engn, Parkville, Vic 3010, Australia.		Farokhi, Farhad/ABE-3729-2020; Shames, Iman/G-6565-2016; Farokhi, Farhad/M-2683-2018	Shames, Iman/0000-0001-7308-3546; Farokhi, Farhad/0000-0002-5102-7073	McKenzie Fellowship; Australian Research Council [LP130100605]; Australian Research Council [LP130100605] Funding Source: Australian Research Council	McKenzie Fellowship; Australian Research Council(Australian Research Council); Australian Research Council(Australian Research Council)	This work was supported by a McKenzie Fellowship and the Australian Research Council under Grant LP130100605. The associate editor coordinating the review of this manuscript and approving it for publicatiobn was Prof. Qian He.		10	4	5	0	12	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1070-9908	1558-2361		IEEE SIGNAL PROC LET	IEEE Signal Process. Lett.	OCT	2015	22	10					1538	1542		10.1109/LSP.2015.2412122	http://dx.doi.org/10.1109/LSP.2015.2412122			5	Engineering, Electrical & Electronic	Science Citation Index Expanded (SCI-EXPANDED)	Engineering	CE8JO		Green Submitted			2025-01-27	WOS:000352088600002
